File,Path,LOC,Classes,Functions,Methods,MethodAll,PublicMethods,PrivateMethods,ProtectedMethods,CountInput,CountOutput,ClassCoupled,ClassVariables,InstanceVariables,DerivedCount,EfferentCoupling,AfferentCoupling,SumCyclomatic,AvgCyclomatic,LCOM_Modified,DSC,NOH,ANA,DAM,DCC,CAM,MOA,MFA,NOP,CIS,NOM,DSC_N,NOH_N,ANA_N,DAM_N,DCC_N,CAM_N,MOA_N,MFA_N,NOP_N,CIS_N,NOM_N,Reusability,Flexibility,Understandability,Functionality,Extendibility,Effectiveness,QMOOD_SCORE
Comments.js,/Users/joshua/Documents/18980/social-media/client/post/Comments.js,121.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,10.0,0.7142857142857143,0.0,0.0,0.0,0.16666666666666666,0.2870370370370371,0.0,0.0,0.0,0.0,0.6923076923076923,0.38723544973544977,-0.041666666666666664,-0.42445360195360193,0.19158730158730158,-0.08333333333333333,0.0,0.004894858228191567
DeleteUser.js,/Users/joshua/Documents/18980/social-media/client/user/DeleteUser.js,63.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,6.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0,6.0,0.42857142857142855,0.0,0.0,0.0,0.16666666666666666,0.2666666666666667,0.0,0.0,0.0,0.0,0.38461538461538464,0.2392857142857143,-0.041666666666666664,-0.23535164835164835,0.12628571428571428,-0.08333333333333333,0.0,0.0008699633699633738
FollowProfileButton.js,/Users/joshua/Documents/18980/social-media/client/user/FollowProfileButton.js,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.37499999999999994,0.0,0.0,0.0,0.0,3.0,0.21428571428571427,0.0,0.0,0.0,0.16666666666666666,0.23611111111111105,0.0,0.0,0.0,0.0,0.15384615384615385,0.12450396825396823,-0.041666666666666664,-0.09856684981684985,0.07547619047619046,-0.08333333333333333,0.0,-0.003931115181115191
webpack.config.server.js,/Users/joshua/Documents/18980/social-media/webpack.config.server.js,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.12833333333333335,0.04666666666666667,0.0,0.0,0.04537037037037037
auth.routes.js,/Users/joshua/Documents/18980/social-media/server/routes/auth.routes.js,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.05555555555555556,-0.041666666666666664,0.07333333333333336,0.04666666666666667,-0.08333333333333333,0.0,0.008425925925925932
auth.controller.js,/Users/joshua/Documents/18980/social-media/server/controllers/auth.controller.js,60.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,0.0,3.0,0.21428571428571427,0.0,0.0,0.0,0.16666666666666666,0.14444444444444443,0.0,0.0,0.0,0.0,0.15384615384615385,0.10158730158730159,-0.041666666666666664,-0.12881684981684982,0.06447619047619046,-0.08333333333333333,0.0,-0.014625559625559626
server.js,/Users/joshua/Documents/18980/social-media/server/server.js,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,0.0,0.0,0.0,0.0,0.07692307692307693,0.07605820105820105,-0.041666666666666664,-0.06641636141636142,0.05365079365079364,-0.08333333333333333,0.0,-0.010284561117894454
config.js,/Users/joshua/Documents/18980/social-media/config/config.js,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.013888888888888895,-0.08333333333333333,0.018333333333333354,0.04666666666666667,-0.16666666666666666,0.0,-0.028518518518518512
express.js,/Users/joshua/Documents/18980/social-media/server/express.js,62.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,0.0,2.0,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.008928571428571425,-0.08333333333333333,-0.1550274725274725,0.041428571428571426,-0.16666666666666666,0.0,-0.0591117216117216
user.controller.js,/Users/joshua/Documents/18980/social-media/server/controllers/user.controller.js,179.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,2.0,0.0,14.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,0.0,0.0,0.0,0.0,1.0,0.5046296296296297,-0.041666666666666664,-0.653888888888889,0.24222222222222223,-0.08333333333333333,0.0,-0.005339506172839517
user.model.js,/Users/joshua/Documents/18980/social-media/server/models/user.model.js,75.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,6.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.20915032679738566,0.0,0.0,0.0,0.0,0.38461538461538464,0.2665732959850607,0.0,-0.1993320405085111,0.11938375350140056,0.0,0.0,0.03110416816299169
devBundle.js,/Users/joshua/Documents/18980/social-media/server/devBundle.js,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,0.0,0.0,0.16666666666666666,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.04034391534391534,-0.041666666666666664,-0.01746031746031746,0.037936507936507935,-0.08333333333333333,0.0,-0.010696649029982361
user.routes.js,/Users/joshua/Documents/18980/social-media/server/routes/user.routes.js,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.013888888888888895,-0.08333333333333333,0.018333333333333354,0.04666666666666667,-0.16666666666666666,0.0,-0.028518518518518512
post.routes.js,/Users/joshua/Documents/18980/social-media/server/routes/post.routes.js,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,-0.027777777777777776,-0.125,-0.03666666666666665,0.04666666666666667,-0.25,0.0,-0.06546296296296296
NewPost.js,/Users/joshua/Documents/18980/social-media/client/post/NewPost.js,132.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,2.0,0.0,7.0,0.0,0.0,0.0,1.0,0.3684210526315789,0.0,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,0.16666666666666666,0.22807017543859648,0.0,0.0,0.0,0.0,0.46153846153846156,0.26535087719298245,-0.041666666666666664,-0.2970445344129555,0.13736842105263158,-0.08333333333333333,0.0,-0.0032208726945569047
webpack.config.client.js,/Users/joshua/Documents/18980/social-media/webpack.config.client.js,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.12833333333333335,0.04666666666666667,0.0,0.0,0.04537037037037037
main.js,/Users/joshua/Documents/18980/social-media/client/main.js,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0,0.09722222222222222,0.0,0.12833333333333335,0.04666666666666667,0.0,0.0,0.04537037037037037
Newsfeed.js,/Users/joshua/Documents/18980/social-media/client/post/Newsfeed.js,69.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.0,1.0,0.0,7.0,0.0,0.0,0.0,3.0,0.4666666666666667,0.0,0.0,0.0,0.0,7.0,0.5,0.0,0.0,0.0,0.5,0.34814814814814815,0.0,0.0,0.0,0.0,0.46153846153846156,0.21203703703703702,-0.125,-0.3674188034188034,0.1517777777777778,-0.25,0.0,-0.06310066476733144
